@RELATION Gait 

@ATTRIBUTE Left_Accelerometer_X NUMERIC
@ATTRIBUTE Left_Accelerometer_Y NUMERIC
@ATTRIBUTE Left_Accelerometer_Z NUMERIC
@ATTRIBUTE Left_Gyroscope_X NUMERIC
@ATTRIBUTE Left_Gyroscope_Y NUMERIC
@ATTRIBUTE Left_Gyroscope_Z NUMERIC
@ATTRIBUTE Left_FSR_B NUMERIC
@ATTRIBUTE Left_FSR_F NUMERIC
@ATTRIBUTE Left_Magnetometer_X NUMERIC
@ATTRIBUTE Left_Magnetometer_Y NUMERIC
@ATTRIBUTE Left_Magnetometer_Z NUMERIC
@ATTRIBUTE Right_Accelerometer_X NUMERIC
@ATTRIBUTE Right_Accelerometer_Y NUMERIC
@ATTRIBUTE Right_Accelerometer_Z NUMERIC
@ATTRIBUTE Right_Gyroscope_X NUMERIC
@ATTRIBUTE Right_Gyroscope_Y NUMERIC
@ATTRIBUTE Right_Gyroscope_Z NUMERIC
@ATTRIBUTE Right_FSR_B NUMERIC
@ATTRIBUTE Right_FSR_F NUMERIC
@ATTRIBUTE Right_Magnetometer_X NUMERIC
@ATTRIBUTE Right_Magnetometer_Y NUMERIC
@ATTRIBUTE Right_Magnetometer_Z NUMERIC
@ATTRIBUTE class {Right_heel_strike, Right_toe_contact, Left_toe_off, Right_heel_off, Left_heel_strike, Left_toe_contact, Right_toe_off, Left_heel_off}

@DATA
9.801980198,-9.445544554,-7.277227723,3.256896552,3.282758621,-2.670689655,482,1659,-0.270689655,-0.677586207,0.532758621,9.224365919,3.263373644,-4.438269712,-34.42504034,26.0879023,-85.92728001,2944,3953,-0.283950617,-0.173780488,-0.536977492,Left_heel_strike
9.188118812,-5.841584158,-9.683168317,3.40862069,3.274137931,-2.632758621,1154,1656,-0.29137931,-0.674137931,0.551724138,9.240862291,3.681355856,-4.623552131,-39.18080784,24.68778861,-91.99447756,2251,3953,-0.314814815,-0.158536585,-0.556270096,Left_heel_strike
12.07920792,2.02970297,-8.673267327,3.4,3.131034483,-2.762068966,2386,1841,-0.281034483,-0.670689655,0.556896552,9.889353649,4.735884298,-4.522216564,-43.3624055,24.27787187,-96.56605275,2123,3959,-0.311728395,-0.152439024,-0.508038585,Left_heel_strike
7.584158416,10.68316832,-10.04950495,3.396551724,2.979310345,-2.946551724,2881,2008,-0.281034483,-0.670689655,0.556896552,10.70239639,4.700234838,-4.274119841,-53.42157782,26.19195628,-97.84129415,1995,3960,-0.311728395,-0.152439024,-0.508038585,Left_heel_strike
9.168316832,14.07920792,-8.831683168,3.455172414,2.922413793,-3.127586207,3118,562,-0.267241379,-0.651724138,0.570689655,11.20975798,4.436316765,-4.15856552,-65.14241209,30.3562301,-99.97951234,1836,3963,-0.336419753,-0.152439024,-0.517684887,Left_heel_strike
11.26732673,6.99009901,-3.425742574,3.425862069,3.132758621,-3.136206897,3269,481,-0.234482759,-0.648275862,0.574137931,11.83238306,4.108271739,-4.340443023,-66.74556159,33.17167563,-103.7038124,1863,3964,-0.351851852,-0.164634146,-0.508038585,Right_heel_off
13.81188119,-1.217821782,-0.811881188,3.470689655,3.375862069,-2.965517241,3384,462,-0.236206897,-0.643103448,0.568965517,12.95186734,4.236212978,-4.426834864,-64.86507446,35.03346932,-109.4458078,1815,3964,-0.391975309,-0.137195122,-0.498392283,Right_heel_off
16.82178218,-1.920792079,-2.861386139,3.481034483,3.506896552,-2.882758621,3479,456,-0.236206897,-0.643103448,0.568965517,13.66332096,4.261289896,-4.207689397,-63.52916308,38.7349038,-115.3995641,1866,3963,-0.391975309,-0.137195122,-0.498392283,Right_heel_off
18.26732673,3,0.306930693,3.220689655,3.013793103,-2.874137931,3539,420,-0.217241379,-0.644827586,0.59137931,14.50851957,4.536245298,-3.866950613,-65.82848556,40.74632579,-118.0653424,1835,3961,-0.404320988,-0.134146341,-0.482315113,Right_heel_off
16.6039604,2.267326733,-1.97029703,3.281034483,3.005172414,-2.80862069,3566,414,-0.218965517,-0.632758621,0.572413793,14.8350342,4.234621303,-3.702835538,-72.97819109,40.71656142,-122.8539015,1752,3956,-0.444444444,-0.106707317,-0.414790997,Right_heel_off
13.88118812,-1.435643564,-4.465346535,3.287931034,3.087931034,-2.784482759,3579,385,-0.25,-0.644827586,0.570689655,15.44003254,3.602989682,-4.260999241,-81.05782954,39.72084748,-129.4844739,1771,3951,-0.419753086,-0.088414634,-0.411575563,Right_heel_off
12.1980198,-1.603960396,-8.504950495,3.331034483,3.072413793,-2.762068966,3585,354,-0.25,-0.644827586,0.570689655,16.34736393,2.697885091,-5.864126939,-94.13018565,39.03932453,-140.6034891,1821,3942,-0.419753086,-0.088414634,-0.411575563,Right_heel_off
10.55445545,0.544554455,-9.99009901,3.386206897,3.148275862,-2.74137931,3584,284,-0.253448276,-0.637931034,0.603448276,17.08679181,2.01636637,-7.276571152,-101.0463885,37.17460565,-155.6747626,1795,3932,-0.466049383,-0.06097561,-0.372990354,Right_heel_off
9.643564356,1.316831683,-9.386138614,3.437931034,3.236206897,-2.756896552,3583,282,-0.270689655,-0.639655172,0.582758621,18.94577266,0.642822544,-8.771972921,-113.6848133,29.77046818,-169.8179501,1847,3919,-0.512345679,-0.015243902,-0.353697749,Right_heel_off
8.574257426,0.069306931,-9.069306931,3.45862069,3.367241379,-2.793103448,3584,579,-0.270689655,-0.639655172,0.582758621,17.17185909,-0.907809248,-11.60906575,-128.0571245,37.1917194,-187.2018309,1794,3907,-0.561728395,-0.00304878,-0.279742765,Right_heel_off
8.871287129,-1.178217822,-9.217821782,3.363793103,3.301724138,-2.832758621,3586,481,-0.270689655,-0.639655172,0.582758621,16.35056098,1.344199124,-8.229526653,-110.0112699,35.19338103,-174.2954328,1748,3895,-0.561728395,-0.00304878,-0.279742765,Right_heel_off
9.752475248,-2.881188119,-10.82178218,3.284482759,3.206896552,-2.875862069,3589,480,-0.272413793,-0.660344828,0.562068966,17.82463993,3.88892205,-10.28315512,-95.13572154,25.1764776,-171.9684496,1633,3879,-0.580246914,0.018292683,-0.218649518,Right_heel_off
10.78217822,-5.376237624,-9.841584158,3.234482759,2.99137931,-2.951724138,3592,881,-0.303448276,-0.663793103,0.570689655,17.51520044,2.623963367,-9.088462825,-83.99962962,43.91084597,-158.0590092,1714,3837,-0.608024691,0.057926829,-0.21221865,Left_toe_contact
10.82178218,-3.722772277,-9.04950495,3.220689655,2.703448276,-3.036206897,3595,1447,-0.303448276,-0.663793103,0.570689655,13.90433579,2.197771001,-8.318564066,-71.39909596,50.67962184,-150.4805206,1631,3778,-0.608024691,0.057926829,-0.21221865,Left_toe_contact
10.33663366,-0.861386139,-7.871287129,3.217241379,2.463793103,-3.096551724,3595,1825,-0.3,-0.662068966,0.570689655,10.34276641,2.860480796,-7.609154014,-59.66376356,52.19458459,-135.6264952,1499,3698,-0.608024691,0.057926829,-0.21221865,Left_toe_contact
9.861386139,1.227722772,-7.316831683,3.215517241,2.405172414,-3.137931034,3596,2304,-0.313793103,-0.646551724,0.574137931,7.654876421,3.681899547,-7.155168842,-37.06366417,48.29206181,-121.5862845,1486,3611,-0.666666667,0.088414634,-0.115755627,Left_toe_contact
9.386138614,2.831683168,-6.485148515,3.225862069,2.513793103,-3.112068966,3595,2661,-0.324137931,-0.618965517,0.593103448,5.711379057,4.084434324,-5.845188571,-36.38256896,39.2186518,-106.6689568,1566,3426,-0.740740741,0.134146341,-0.067524116,Left_toe_contact
8.445544554,3.851485149,-4.940594059,3.25862069,2.672413793,-3.072413793,3598,2848,-0.324137931,-0.618965517,0.593103448,4.659236684,3.579389612,-3.401802151,-55.01188861,35.1255336,-89.90595449,3455,2961,-0.740740741,0.134146341,-0.067524116,Left_toe_contact
9.069306931,3.584158416,-5.564356436,3.312068966,2.870689655,-3.005172414,3596,2980,-0.331034483,-0.593103448,0.606896552,5.218804675,3.82610318,-0.170877341,-77.82654321,28.40275035,-72.07265879,3827,2504,-0.740740741,0.134146341,-0.067524116,Left_toe_contact
